"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price"
"Bihar","Araria","Forbesganj","Orange","Darjeeling","01/02/2022","4500","6200","5500"
"Bihar","Araria","Forbesganj","Orange","Darjeeling","02/02/2022","4800","6100","5400"
"Bihar","Araria","Forbesganj","Orange","Darjeeling","03/02/2022","2600","3750","3400"
"Bihar","Araria","Forbesganj","Orange","Darjeeling","04/02/2022","2800","3900","3200"
"Bihar","Araria","Forbesganj","Orange","Darjeeling","05/02/2022","3200","4200","3800"
"Bihar","Araria","Forbesganj","Orange","Darjeeling","06/02/2022","2800","3750","3500"
"Bihar","Araria","Forbesganj","Orange","Darjeeling","07/02/2022","3100","3850","3500"
"Bihar","Araria","Forbesganj","Orange","Darjeeling","08/02/2022","3200","3850","3500"
"Bihar","Araria","Forbesganj","Orange","Darjeeling","12/02/2022","2800","3800","3300"
"Bihar","Araria","Forbesganj","Orange","Darjeeling","13/02/2022","3200","3950","3600"
"Bihar","Araria","Forbesganj","Orange","Darjeeling","14/02/2022","3200","4100","3800"
"Bihar","Araria","Forbesganj","Orange","Darjeeling","15/02/2022","4600","5600","5400"
"Bihar","Araria","Forbesganj","Orange","Darjeeling","16/02/2022","5200","5450","5400"
"Bihar","Araria","Forbesganj","Orange","Darjeeling","17/02/2022","3500","3600","3540"
"Bihar","Araria","Forbesganj","Orange","Darjeeling","18/02/2022","5200","5950","5600"
"Bihar","Araria","Forbesganj","Orange","Darjeeling","21/02/2022","4500","5600","5400"
"Bihar","Araria","Forbesganj","Orange","Darjeeling","02/03/2022","4800","5950","5400"
"Bihar","Araria","Forbesganj","Orange","Darjeeling","05/03/2022","5100","5900","5480"
"Bihar","Araria","Forbesganj","Orange","Darjeeling","06/03/2022","4100","5200","4600"
"Bihar","Araria","Forbesganj","Orange","Darjeeling","08/03/2022","4900","5300","5100"
"Bihar","Araria","Forbesganj","Orange","Darjeeling","09/03/2022","5400","6200","5800"
"Bihar","Araria","Forbesganj","Orange","Darjeeling","12/03/2022","5500","5950","5700"
